中文名稱,ENGLISH NAME,中文地址,ENGLISH ADDRESS,EASTING,NORTHING,DISTRICT,地區
牛頭角道體育館,Ngau Tau Kok Road Sports Centre,九龍觀塘牛頭角道183號牛頭角市政大廈4樓,"4/F, Ngau Tau Kok Municipal Services Building, 183 Ngau Tau Kok Road, Kwun Tong, Kowloon",840338,820275,KWUN TONG,觀塘
寶翠公園,Po Tsui Park,新界將軍澳毓雅里,"Yuk Nga Lane, Tseung Kwan O, New Territories",844110,820669.1,SAI KUNG,西貢
?德郵輪碼頭公園,Kai Tak Cruise Terminal Park,九龍承豐道33號,"33 Shing Fung Road, Kowloon",840045.8,818547.9,KOWLOON CITY,九龍城
香港中央圖書館,Hong Kong Central Library,香港銅鑼灣高士威道66號,"66 Causeway Road, Causeway Bay, Hong Kong",837586,815670,WAN CHAI,灣仔
九龍公園,Kowloon Park,九龍尖沙咀柯士甸道22號,"22 Austin Road, Tsim Sha Tsui, Kowloon",835580.8,817908.8,YAU TSIM MONG,油尖旺
土瓜灣公共圖書館,To Kwa Wan Public Library,九龍馬頭圍道165號土瓜灣政府合署5至6樓,"5-6/F, To Kwa Wan Market & Government Offices, 165 Ma Tau Wai Road, Kowloon",837413,819794,KOWLOON CITY,九龍城
鯉魚門體育館,Lei Yue Mun Sports Centre,九龍油塘鯉魚門徑6號鯉魚門市政大廈2樓及5樓,"2/F & 5/F, Lei Yue Mun Municipal Services Building, 6 Lei Yue Mun Path, Yau Tong, Kowloon",842637,817018,KWUN TONG,觀塘
蝴蝶灣社區中心,Butterfly Bay Community Centre,新界屯門蝴蝶?地下及1樓,"G/F & 1/F, Butterfly Estate, Tuen Mun, New Territories",814139,826201,TUEN MUN,屯門
西環學生健康服務中心及健康評估中心,Western Student Health Service Centre and Special Assessment Centre,香港上環林士街2號林士街多層停車場大廈9樓,"9/F Rumsey Street Multi-storey Carpark Building, 2 Rumsey Street, Sheung Wan, Hong Kong",833842.5,816506.3,CENTRAL AND WESTERN,中西區
東區法院大樓,Eastern Law Courts Building,香港西灣河太安街29號,"29 Tai On Street, Sai Wan Ho, Hong Kong",841138.1,816162,EASTERN,東區
大元社區會堂,Tai Yuen Community Hall,新界大埔大元?,"Tai Yuen Estate, Tai Po, New Territories",835413,835120.7,TAI PO,大埔
容鳳書胸肺科診所,Yung Fung Shee Chest Clinic,九龍觀塘茶果嶺道79號1樓,"1/F, 79 Cha Kwo Ling Road, Kwun Tong, Kowloon",841619.6,818810.1,KWUN TONG,觀塘
九龍灣體育館,Kowloon Bay Sports Centre,九龍九龍灣啟樂街15號地下,"G/F, 15 Kai Lok Street, Kowloon Bay, Kowloon",839808,820871,KWUN TONG,觀塘
運輸署沙田牌照事務處,"Sha Tin Licensing Office, Transport Department",新界沙田上禾輋路1號沙田政府合署2樓,"2/F, Sha Tin Government Offices, 1 Sheung Wo Che Road, Sha Tin, New Territories",837301,827369,SHA TIN,沙田
亞皆老街賽馬會學童牙科診所,Argyle Street Jockey Club School Dental Clinic,九龍亞皆老街147號J1一樓及三樓,"1/F & 3/F, 147J Argyle Street, Kowloon",836992,820662.5,KOWLOON CITY,九龍城
