LOCALITY,District,Northing_m,Easting_m
SAI KO SHAN (HIGH WEST),,814812.993,832083.828
ABERDEEN RESERVOIR ROAD,,812346.803,834109.037
WONG CHUK HANG ROAD,,812228.731,834669.197
"LEI MOON HOUSE, AP LEI CHAU",,811742.52,833747.213
POKFULAM GARDENS,,813275.987,832132.837
CHAI WAN AU,,814779.959,842278.731
ST. STEPHEN'S COLLEGE,,808666.955,840261.898
HEADLAND ROAD,,809531.797,838948.088
STANLEY GAP ROAD,,809458.576,839539.298
AP LEI CHAU,,811409.896,833720.898
MOUNT COLLINSON,,812520.834,842250.674
SHEK O PEAK,,810782.545,843160.019
POK FU LAM RESERVOIR ROAD,,814216.283,833299.068
MAGAZINE GAP ROAD,,814911.475,834696.438
SEAWALL AT A KUNG NGAM,,816157.784,842131.443
TAI ON STREET,,816151.905,841129.102
SHEK O,,809854.43,843027.537
"TAI TAU CHAU, SHEK O",,810125.537,844714.882
POTTINGER PEAK,,812846.783,843979.626
POTTINGER PEAK,,813239.783,844136.953
BRAEMAR HILL MANSION,,816279.17,838679.07
BRAEMAR HILL MANSION,,816353.751,839040.494
TAI TAM RESERVIOR,,813417.104,838762.786
TAI TAM RESERVIOR,,812845.506,838577.439
NAM LONG SHAN,,811406.627,835523.936
NAM LONG SHAN ROAD,,810975.632,835233.111
OCEAN PARK,,810489.917,835479.268
BARKER ROAD,,814685.193,833684.008
MIDDLE ISLAND,,810593.895,837089.797
MA KONG CHAU,,809529.812,837893.875
CHUNG HOM KOK,,808182.202,838544.54
BRICK HILL,,811447.781,835923.703
REPULSE BAY ROAD,,810871.113,837798.883
PIER OF REPULSE BAY,,810647.925,838354.983
WONG CHUK HANG ROAD,,812364.901,836005.182
SHOUSON HILL,,812081.708,836962.283
CAPE D'AGUILAR ROAD,,808964.935,843202.741
SHEK O ROAD,,810815.81,842591.347
SHEK O ROAD,,809966.049,843476.594
BIG WAVE BAY ROAD,,811714.109,843276.246
ABERDEEN UPPER RESERVOIR,,813079.478,834871.65
ABERDEEN UPPER RESERVOIR,,813146.325,834666.318
ABERDEEN LOWER RESERVIOR,,812625.849,834666.658
TAI TAM RESERVIOR,,812151.272,839946.689
"BOA VISTA, TAI TAM",,812711.637,840964.785
245-251 HENNESSY ROAD,,815477.654,836195.799
482 HENNESSY ROAD,,815646.823,836856.573
TAI HANG ROAD,,814436.925,837542.976
STUBBS ROAD,,814524.44,836117.673
JARDINE'S LOOKOUT,,814162.733,838482.264
CONNAUGHT ROAD WEST,,816590.871,832757.311
"LUGARD ROAD, MID-LEVELS",,815507.012,833044.433
"LUGARD ROAD, MID-LEVELS",,815434.064,833235.15
62D ROBINSON ROAD,,815803.76,833498.244
DES VOEUX ROAD WEST,,816587.027,832567.923
"DOR FOOK MANSION, POK FU LAM",,814251.086,831704.54
NO. 140 PO FU LAM ROAD,,813998.084,831846.288
MOUNT KELLETT,,813727.705,833350.187
ABERDEEN LOWER RESERVOIR,,812461.571,834913.926
SHEK TONG TSUI,,816711.251,831617.143
FUNG MAT ROAD,,816790.796,832320.751
EASTERN STREET NORTH,,816775.26,832859.714
MAN CHIU STREET,,816492.588,834050.608
SAI NING COURT,,815828.829,830486.397
EXPO DRIVE EAST,,815970.265,836008.183
BRAEMAR HILL ROAD,,816474.496,838791.316
JAVA ROAD,,817037.084,839490.692
POLLOCK'S PATH,,814375.857,834446.596
MOUNT AUSTIN ROAD,,814949.168,833347.085
POLLOCK'S PATH,,814476.776,834518.351
SEVERN ROAD,,814476.381,834703.133
MIDDLE GAP ROAD,,813886.992,835687.404
STANLEY,,808150.99,840121.44
STANLEY,,808677.198,839924.641
WONG NAI CHUNG GAP ROAD,,813751.593,837425.523
STUBBS ROAD,,814139.34,837053.853
MAN KWONG STREET,,816503.007,833946.21
SHA WAN DRIVE,,814420.041,830750.957
CYBERPORT ROAD,,813807.563,831105.31
CYBERPORT PIER,,813322.825,831373.624
CYBERPORT ROAD,,813078.12,831818.522
MOUNT CAMERON,,813720.743,836095.962
LAI TAK TSUEN,,815456.999,838076.401
HONG KONG CENTRAL LIBRARY,,815638.694,837572.631
SCAA STADIUM,,815227.04,837292.521
POK FU LAM FIRE STATION,,812687.861,832348.127
"TIN LAI HOUSE, TIN WAN ESTATE",,812612.455,833650.912
"YUE SHI CHEUNG ROAD, ABERDEEN",,812153.11,833487.541
MARINE POLICE ABERDEEN BASE,,811565.775,834931.888
"WAN SHING STREET, WAN CHAI",,815917.359,836464.397
"HARBOUR BUILDING, CENTRAL",,816392.476,834041.778
"TIM WA AVENUE, CENTRAL",,815930.173,835026.306
PAK KOK TSUEN,,810563.514,829450.949
YUNG SHUE LONG VILLAGE,,809948.126,829582.36
LAMMA ISLAND,,809265.044,830448.294
TAI WAN TO,,808875.212,830970.088
LO SO SHING,,808137.095,830966.927
LO SO SHING,,807679.536,830857.132
"SOK KWU WAN, LAMMA ISLAND",,807198.243,831257.505
"SOK KWU WAN, LAMMA ISLAND",,806549.23,831901.083
"LING KOK SHAN, LAMMA ISLAND",,807264.796,832134.225
MO TAT,,807852.577,833522.555
YUNG SHUE WAN,,809210.509,829662.076
TAI O,,812716.778,803882.553
TONG FUK MIU WAN,,808535.135,810535.546
"TAI LONG WAN, LANTAU",,808712.452,817480.167
"TAI LONG WAN, LANTAU",,808730.59,818229.692
CHEUNG CHAU,,809173.792,821455.078
CHEUNG CHAU,,808170.693,820460.519
CHEUNG CHAU,,807368.47,821447.607
"SHAM SHEK TSUEN, LANTAU",,815332.381,806517.611
"TONG FUK, LANTAU",,810561.608,811431.097
LANTAU ISLAND,,811427.273,806651.095
"TUNG CHUNG ROAD, LANTAU",,810565.413,812508.438
"TUNG CHUNG ROAD, LANTAU",,811314.719,812614.744
"TUNG CHUNG ROAD, LANTAU",,811817.424,812393.481
"TUNG CHUNG ROAD, LANTAU",,812826.639,811833.513
"TUNG CHUNG, LANTAU",,815691.803,810761.811
SIU KAU YI CHAU,,816666.536,824142.377
"POK TO YAN, LANTAU",,815997.081,813809.726
"NGAU KWU LONG, LANTAU",,816507.574,814818.387
"TAI HO, LANTAU",,817321.705,816574.902
"SAM PAK, LANTAU",,819653.523,819153.368
"CHOK KO WAN, LANTAU",,820318.856,821034.179
"NGONG SHUEN AU, LANTAU",,821468.964,821758.175
"NGONG SHUEN AU, LANTAU",,821146.336,821168.387
"YAM O, LANTAU",,820833.946,820750.031
"YAM TSAI, LANTAU",,821238.127,820044.675
"TUNG YIP HANG, LANTAU",,820231.841,819049.601
"SHUM SHUI KOK, LANTAU",,819932.743,818216.954
"TAI HO WAN, LANTAU",,818012.677,816186.967
"PAK MONG, LANTAU",,817575.57,815379.615
"PAK MONG, LANTAU",,817273.554,814442.48
HEI LING CHAU,,811725.743,822388.056
HEI LING CHAU,,812915.521,821109.642
"SILVER MINE BAY, LANTAU",,812980.019,818394.594
"CHI MA WAN, LANTAU",,810264.79,816460.724
"PUI O, LANTAU",,811448.43,815660.627
