@relation mergedData

@attribute District {'The Peak','Wan Chai','Yau Tsim Mong','Sai Kung','Kowloon City','Kwun Tong','Central And Western',Eastern,'Tai Po','Tuen Mun','Sha Tin','Sham Shui Po',Southern,'Tsuen Wan','Kwai Tsing','North Point','Wong Tai Sin',Islands,'Yuen Long','Central & Western','Tung Lung Fort Special Area','Lantau South Country Park','Plover Cove Country Park','Sai Kung East Country Park','Pat Sin Leng Country Park','Ma On Shan Country Park','Sai Kung West Country Park','Plover Cove (extension) Country Park','Tai Lam Country Park','Sai Kung West Country Park (wan Tsai Extension)','Shing Mun Country Park','Lantau North Country Park','Tai Mo Shan Country Park','Tai Tam Country Park','Kam Shan Country Park','Lion Rock Country Park','Aberdeen Country Park','Tai Tam Country Park (quarry Bay Extension)','Clear Warer Bay Country Park','Tseung Kwan O','Discovery Bay',Aberdeen,Airport,'Sai Ying Pun','Ma On Shan','Lamma Island','Cheung Sha Wan','Tsim Sha Tsui','Kwai Chung',Central,'Shau Kei Wan','Sheung Shui','Peng Chau','Kowloon Central','Wah Fu','Mui Wo','Hong Kong East','Cheung Chau','Kowloon East','Sheung Wan','Kowloon Tong','Kowloon Bay',Jordan,Homantin,Mid-Level,'To Kwa Wan','Tai Wai',University,'Lantau Island','Tai Kok Tsui','Tin Shui Wai','Tai Koo Shing','Prince Edward','Siu Sai Wan','Tsim Sha Tsui East','Choi Hung','Tsz Wan Shan','San Po Kong','Mong Kok','Tung Chung','Chai Wan','Lok Fu',Shatin,'Yau Tong',Yaumatei,'Fo Tan','Ngau Tau Kok','Shek Kip Mei','Sau Mau Ping',Fanling,'Hung Hom','Lo Wu','Mei Foo','Lai Chi Kok','Lok Ma Chau','Lam Tin','Sai Wan Ho',Western,'Happy Valley',Admiralty,'Causeway Bay','Diamond Hill','Tsing Yi','Quarry Bay','Ap Lei Chau'}
@attribute Lat numeric
@attribute Lng numeric

@data
'The Peak',22.275747,114.146362
'The Peak',22.276384,114.145832
'The Peak',22.276242,114.144754
'The Peak',22.275744,114.144339
'The Peak',22.275227,114.143447
'The Peak',22.274705,114.142913
'The Peak',22.273975,114.142731
'The Peak',22.273644,114.143363
'The Peak',22.273279,114.144346
'The Peak',22.273150,114.145250
'The Peak',22.273706,114.146221
'The Peak',22.274840,114.146299
'Wan Chai',22.2799,114.189663
'Yau Tsim Mong',22.300118,114.170205
'Sai Kung',22.325027,114.252992
'Kowloon City',22.305885,114.213538
'Kwun Tong',22.321481,114.216378
'Kwun Tong',22.292062,114.23868
'Central And Western',22.287451,114.153338
Eastern,22.284336,114.224132
'Tai Po',22.45555,114.168568
'Tuen Mun',22.374859,113.962006
'Kwun Tong',22.308249,114.228813
'Sha Tin',22.385549,114.186905
'Kwun Tong',22.326865,114.211235
'Kowloon City',22.324985,114.183902
'Sham Shui Po',22.338564,114.170993
'Kowloon City',22.317142,114.187988
'Sham Shui Po',22.340699,114.13821
'Yau Tsim Mong',22.309265,114.169144
'Yau Tsim Mong',22.321883,114.162791
Southern,22.24526,114.151996
'Wan Chai',22.273613,114.174829
'Kowloon City',22.332031,114.190412
'Kwun Tong',22.30718,114.228782
'Sha Tin',22.416687,114.227866
'Wan Chai',22.279602,114.171838
'Sha Tin',22.396411,114.199638
'Sai Kung',22.317283,114.268312
'Sai Kung',22.313028,114.262467
'Tai Po',22.446784,114.165984
'Wan Chai',22.278076,114.175419
'Sham Shui Po',22.331181,114.153196
Southern,22.245094,114.150207
'Kwun Tong',22.317635,114.212298
'Sham Shui Po',22.331805,114.160412
'Tsuen Wan',22.372069,114.113451
'Central And Western',22.278404,114.163282
'Kwai Tsing',22.362432,114.103057
'Tai Po',22.450045,114.168095
'North Point',22.485057,114.142552
'Tsuen Wan',22.372426,114.118636
Southern,22.250167,114.138031
'Sha Tin',22.424293,114.231531
