District,Lat,Lng
Wan Chai,22.279899674,114.189663219
Yau Tsim Mong,22.300117814,114.170205328
Sai Kung,22.32502723,114.252991608
Kowloon City,22.30588526,114.213538035
Kwun Tong,22.321481341,114.216378238
Kwun Tong,22.292061687,114.238679629
Central And Western,22.287450801,114.153337877
Eastern,22.284336362,114.224131589
Tai Po,22.455550308,114.168567715
Tuen Mun,22.374858684,113.962006365
Kwun Tong,22.30824891,114.22881269
Sha Tin,22.385548619,114.18690538
Kwun Tong,22.326864744,114.211235319
Kowloon City,22.324985364,114.183901763
Sham Shui Po,22.338563794,114.170992717
Kowloon City,22.317142065,114.187987515
Sham Shui Po,22.340698639,114.138209626
Yau Tsim Mong,22.309264873,114.169144111
Yau Tsim Mong,22.321882903,114.162790751
Southern,22.245260296,114.151995529
Wan Chai,22.273613036,114.174828994
Kowloon City,22.332030611,114.190412498
Kwun Tong,22.307179696,114.228782209
Sha Tin,22.416687083,114.227866137
Wan Chai,22.279602094,114.171838376
Sha Tin,22.396411035,114.199637684
Sai Kung,22.317282806,114.268311917
Sai Kung,22.313028074,114.262467392
Tai Po,22.446784299,114.165984096
Wan Chai,22.278075986,114.17541888
Sham Shui Po,22.331181485,114.153195636
Southern,22.245093848,114.150206723
Kwun Tong,22.317635252,114.212297788
Sham Shui Po,22.331805487,114.160411586
Tsuen Wan,22.372069294,114.113451172
Central And Western,22.278404143,114.163282192
Kwai Tsing,22.362432018,114.103057257
Tai Po,22.450045323,114.168094919
North Point,22.485056501,114.142552276
Tsuen Wan,22.372426142,114.118635957
Southern,22.250166636,114.138030771
Sha Tin,22.424293159,114.231530808
Tai Po,22.455336057,114.164895305
Wan Chai,22.279620187,114.173002762
North Point,22.496968484,114.128399485
Kowloon City,22.314830559,114.181106024
Wong Tai Sin,22.331972526,114.193509944
Sham Shui Po,22.336040439,114.145511633
Central And Western,22.286224807,114.149878721
Sha Tin,22.379981152,114.189073259
Islands,22.28847537,113.943102712
Yuen Long,22.468422529,113.998667638
Tsuen Wan,22.364129596,114.070327132
Kwai Tsing,22.351466689,114.102101921
Wan Chai,22.279783609,114.171830607
Tuen Mun,22.386302878,113.968112272
Central And Western,22.278084529,114.164163266
Yuen Long,22.455011852,114.006544498
Southern,22.250150687,114.148217024
Yuen Long,22.454543124,114.001439671
Central And Western,22.277722373,114.16382272
North Point,22.500125074,114.144720654
Yuen Long,22.442513718,114.018952524
Kwun Tong,22.319798496,114.227694954
Sai Kung,22.317187158,114.268176944
Kowloon City,22.324976332,114.183935735
Kwun Tong,22.309548082,114.229836108
Sham Shui Po,22.331735034,114.160265992
Wong Tai Sin,22.340449598,114.192813959
Kwun Tong,22.329687681,114.225436883
Wan Chai,22.276974178,114.171855935
Yau Tsim Mong,22.32276832,114.169022044
Islands,22.253611659,113.865440211
Wong Tai Sin,22.33243015,114.195583386
Wong Tai Sin,22.345524706,114.193513498
Yau Tsim Mong,22.307910419,114.173011697
Tsuen Wan,22.374306343,114.124033806
Kwun Tong,22.310002813,114.218916828
Yau Tsim Mong,22.30956921,114.169265411
Southern,22.236717079,114.196460137
Kwun Tong,22.31056555,114.233344008
Wan Chai,22.280134015,114.17241182
Kwun Tong,22.315696625,114.233662479
Wong Tai Sin,22.339064514,114.190568496
Kwun Tong,22.320522481,114.222531601
Tsuen Wan,22.372319116,114.122490725
North Point,22.496568536,114.138873014
Sham Shui Po,22.333928585,114.147641814
Kwun Tong,22.312517803,114.222381471
Southern,22.2496628,114.173266477
Kwun Tong,22.31566352,114.224277046
Central And Western,22.278533212,114.162485552
Kwun Tong,22.328623831,114.207063851
Sha Tin,22.377516118,114.18408502
Sha Tin,22.380641322,114.188547024
Tuen Mun,22.391228415,113.979145246
Sai Kung,22.306429892,114.254337317
Sham Shui Po,22.340156869,114.138481582
Eastern,22.263574554,114.249552871
Kowloon City,22.329640336,114.18889123
Eastern,22.283689284,114.211787548
Yuen Long,22.448924256,114.023465626
Kwai Tsing,22.360787155,114.125369984
Kwai Tsing,22.373678047,114.137530562
Yau Tsim Mong,22.293803532,114.168612196
Eastern,22.282230781,114.22287332
Kwun Tong,22.323336898,114.217308619
Kwun Tong,22.331574514,114.227262416
Tuen Mun,22.403165624,113.973189644
Sha Tin,22.367668458,114.17962211
Tsuen Wan,22.370479578,114.119814529
Southern,22.219158743,114.21221284
Kwun Tong,22.317056206,114.216966134
Sham Shui Po,22.339186054,114.172719626
Kwai Tsing,22.355514462,114.102711395
Southern,22.221244431,114.214028083
Southern,22.241680911,114.154592042
Sha Tin,22.373375465,114.186949169
Yau Tsim Mong,22.321359682,114.172623087
Sham Shui Po,22.338645843,114.157635468
Eastern,22.264851907,114.239909546
North Point,22.504979042,114.130447376
Wong Tai Sin,22.34636997,114.200708075
Kowloon City,22.317142065,114.187987515
Yuen Long,22.445142851,114.035946336
Eastern,22.276415208,114.228359431
Yuen Long,22.463089216,114.002007014
Sai Kung,22.382567289,114.274642953
Sha Tin,22.383788188,114.19183718
Southern,22.243179868,114.153624644
Sha Tin,22.379534015,114.204671579
Tai Po,22.45529881,114.162200255
Kowloon City,22.313600425,114.185327908
Yuen Long,22.45029662,114.023192096
Central And Western,22.279063854,114.158863299
Southern,22.219156035,114.212207989
Kwun Tong,22.311862041,114.222878177
Kowloon City,22.306699114,114.212663819
Eastern,22.26400683,114.234535151
Kwun Tong,22.308898338,114.233810159
Yau Tsim Mong,22.326064646,114.173855663
Eastern,22.289553048,114.193730037
Yau Tsim Mong,22.324286362,114.169004488
Southern,22.249366559,114.171930638
Tai Po,22.451968793,114.167813059
Kwai Tsing,22.348917289,114.105953475
Central And Western,22.286002612,114.149626468
Islands,22.308456303,114.015748578
Eastern,22.280082,114.227234227
Central And Western,22.286355795,114.145120009
Kwun Tong,22.310105333,114.237396765
Wong Tai Sin,22.335048984,114.195871065
Yau Tsim Mong,22.312522212,114.169151697
Wan Chai,22.279840531,114.172861089
North Point,22.502540064,114.127833861
North Point,22.494704504,114.138205886
Wong Tai Sin,22.337125947,114.196453779
Eastern,22.292169749,114.208344706
Tai Po,22.453882574,114.174115252
Eastern,22.281252006,114.211366788
