@relation 'pg_711-weka.filters.unsupervised.attribute.Remove-R1-5,9-11'

@attribute District {'Sheung Shui','Sheung Wan',Central,'Kowloon City','Kowloon Tong','Kowloon Bay',Jordan,Homantin,'Yuen Long','North Point',Mid-Level,Southern,'To Kwa Wan','Tai Wai','Tai Po',University,'Lantau Island','Tai Kok Tsui','Tin Shui Wai','Tai Koo Shing','Prince Edward','Tseung Kwan O','Siu Sai Wan','Tsim Sha Tsui','Tsim Sha Tsui East','Tuen Mun','Choi Hung','Tsz Wan Shan','San Po Kong','Mong Kok','Tung Chung','Chai Wan','Lok Fu',Airport,Shatin,'Yau Tong',Yaumatei,'Sham Shui Po','Wan Chai','Fo Tan','Ngau Tau Kok','Shek Kip Mei','Sau Mau Ping','Shau Kei Wan',Fanling,'Hung Hom','Lo Wu','Mei Foo','Tsuen Wan','Lai Chi Kok','Lok Ma Chau','Kwai Chung','Lam Tin','Sai Wan Ho',Western,'Sai Kung','Kwun Tong','Happy Valley',Admiralty,'Causeway Bay','Diamond Hill','Cheung Sha Wan','Cheung Chau','Tsing Yi',Aberdeen,'Ma On Shan','Quarry Bay','Ap Lei Chau','Wong Tai Sin'}
@attribute Lat numeric
@attribute Long numeric

@data
'Sheung Shui',22.503293,114.133624
'Sheung Shui',22.497486,114.12596
'Sheung Shui',22.500743,114.125774
'Sheung Shui',22.503768,114.129241
'Sheung Shui',22.50435,114.126826
'Sheung Shui',22.504159,114.127748
'Sheung Shui',22.504642,114.130046
'Sheung Shui',22.503022,114.127966
'Sheung Shui',22.502036,114.129039
'Sheung Shui',22.500943,114.129327
'Sheung Shui',22.501228,114.131808
'Sheung Shui',22.501535,114.127452
'Sheung Wan',22.28791,114.151791
'Sheung Wan',22.286661,114.150975
'Sheung Wan',22.285965,114.151797
'Sheung Wan',22.286219,114.152878
'Sheung Wan',22.287046,114.14769
'Sheung Wan',22.285516,114.147574
'Sheung Wan',22.285255,114.150724
'Sheung Wan',22.28304,114.149811
'Sheung Wan',22.285714,114.149997
'Sheung Wan',22.28469,114.141083
'Sheung Wan',22.284073,114.150921
'Sheung Wan',22.286562,114.151865
'Sheung Wan',22.286456,114.151919
'Sheung Wan',22.286463,114.153689
'Sheung Wan',22.28791,114.151791
'Sheung Wan',22.285072,114.14083
Central,22.282396,114.152301
Central,22.284416,114.153287
Central,22.28153,114.152665
Central,22.280089,114.150833
Central,22.2823,114.155091
Central,22.280702,114.155117
Central,22.281396,114.156244
Central,22.285606,114.154255
Central,22.283662,114.156801
Central,22.284144,114.15485
Central,22.283074,114.152641
Central,22.282791,114.153956
Central,22.283575,114.154884
Central,22.280623,114.155008
Central,22.280374,114.153798
Central,22.281731,114.151531
Central,22.281029,114.155688
Central,22.281988,114.157777
Central,22.284954,114.157731
Central,22.284937,114.157747
Central,22.284545,114.158445
Central,22.284644,114.158075
Central,22.286818,114.161076
Central,22.282784,114.157597
Central,22.282617,114.156554
Central,22.28107,114.159483
Central,22.285374,114.158496
'Kowloon City',22.32876,114.189951
'Kowloon City',22.327445,114.18753
'Kowloon City',22.330799,114.192895
'Kowloon City',22.330391,114.188224
'Kowloon City',22.329093,114.187792
'Kowloon City',22.329106,114.189417
'Kowloon City',22.333917,114.192563
'Kowloon City',22.330988,114.188216
'Kowloon Tong',22.339563,114.180844
'Kowloon Tong',22.336858,114.175887
'Kowloon Tong',22.336401,114.176525
'Kowloon Tong',22.337126,114.175571
'Kowloon Tong',22.337121,114.175969
'Kowloon Tong',22.337156,114.175946
'Kowloon Tong',22.336788,114.176053
'Kowloon Bay',22.322352,114.210583
'Kowloon Bay',22.329018,114.209844
'Kowloon Bay',22.334114,114.21483
'Kowloon Bay',22.323814,114.216199
'Kowloon Bay',22.321857,114.215938
