Code,_id,Shop Name Tc,Shop Name En,DistrictTc,DistrictEn,Latitude,Longitude,Store.AddressTc,Store.AddressEn,Store.Is24Hours
247,75,7-Eleven 上水,7-Eleven Sheung Shui,上水,Sheung Shui,22.5032933,114.1336239,新界上水天平村購物商場116號舖,"Shop 116, Tin Ping Shopping Centre, Tin Ping Estate, Sheung Shiu, NT",TRUE
1171,583,7-Eleven 上水,7-Eleven Sheung Shui,上水,Sheung Shui,22.4974863,114.1259598,新界上水太平?平熙樓地下110A號舖,"Shop No.110A on Ground Floor, Ping Hay House, Tai Ping Estate, Sheung Shui,  N.T.",TRUE
1432,789,7-Eleven 上水,7-Eleven Sheung Shui,上水,Sheung Shui,22.5007428,114.125774,新界上水彩園?彩珠樓334及336號舖,"Shop Nos. 334 & 336, 3/F, Choi Chu House, Choi Yuen Estate, Sheung Shui, NT",TRUE
1464,819,7-Eleven 上水,7-Eleven Sheung Shui,上水,Sheung Shui,22.5037681,114.1292409,新界上水新祥街25號地下,"G/F., No. 25 San Cheung Street North, Sheung Shui, N.T.",TRUE
441,147,7-Eleven 上水,7-Eleven Sheung Shui,上水,Sheung Shui,22.5043498,114.1268264,新界上水新豐路75號地下舖,"G/F., No.75 San Fung Avenue, Sheung Shui, NT",TRUE
126,33,7-Eleven 上水,7-Eleven Sheung Shui,上水,Sheung Shui,22.5041586,114.1277481,新界上水新財街25-27號地下,"G/F., 25-27 San Tsoi Street, Sheung Shui, NT",TRUE
1379,741,7-Eleven 上水,7-Eleven Sheung Shui,上水,Sheung Shui,22.5046418,114.1300457,新界上水馬會道182號地下,"G/F & Cockloft, No.182 Jockey Club Road, Shueng Shui, N.T.",TRUE
1093,521,7-Eleven 上水,7-Eleven Sheung Shui,上水,Sheung Shui,22.5030217,114.1279665,新界上水龍琛路76-86號地下B舖,"Shop B, G/F., No.76-86 Lung Sum Avenue, Sheung Shui, NT.",TRUE
1581,934,7-Eleven 上水,7-Eleven Sheung Shui,上水,Sheung Shui,22.50203576,114.1290388,新界上水龍運街8號新都廣場第一層106e號舖,"Shop No. 106e, Level 1, Metropolis Plaza, No. 8 Lung Wan Street, Sheung Shui, N.T.",TRUE
1327,699,7-Eleven 上水 (非24小時營業),7-Eleven Sheung Shui (Non-24 Hours),上水,Sheung Shui,22.5009432,114.1293274,新界上水智昌路3號上水中心2樓2012及2013號舖,"Shop Nos. 2012&2013 on Level 2 of Sheung Shui Centre, No. 3 Chi Cheong Road, Sheung Shui, N.T",FALSE
