District,Lat,Long
Kwun Tong,22.32502723,114.252991608
Sai Kung,22.30588526,114.213538035
Kowloon City,22.372069294,114.113451172
Wan Chai,22.326864744,114.211235319
Yau Tsim Mong,22.317635252,114.212297788
Kowloon City,22.309264873,114.169144111
Kwun Tong,22.338563794,114.170992717
Tuen Mun,22.273613036,114.174828994
Central And Western,22.331181485,114.153195636
Eastern,22.332030611,114.190412498
Tai Po,22.250166636,114.138030771
Kwun Tong,22.372426142,114.118635957
Kwun Tong,22.278075986,114.17541888
Sha Tin,22.292061687,114.238679629
Kowloon City,22.30824891,114.22881269
Sham Shui Po,22.279899674,114.189663219
Sham Shui Po,22.300117814,114.170205328
Southern,22.485056501,114.142552276
Yau Tsim Mong,22.385548619,114.18690538
Yau Tsim Mong,22.245093848,114.150206723
Kowloon City,22.321882903,114.162790751
Wan Chai,22.340698639,114.138209626
Kwun Tong,22.313028074,114.262467392
Sha Tin,22.279602094,114.171838376
Wan Chai,22.396411035,114.199637684
Sha Tin,22.245260296,114.151995529
Sai Kung,22.284336362,114.224131589
Sai Kung,22.424293159,114.231530808
Tai Po,22.321481341,114.216378238
Wan Chai,22.278404143,114.163282192
Southern,22.287450801,114.153337877
Sham Shui Po,22.450045323,114.168094919
Kwun Tong,22.324985364,114.183901763
Sham Shui Po,22.455550308,114.168567715
Tsuen Wan,22.317282806,114.268311917
Tsuen Wan,22.307179696,114.228782209
Southern,22.374858684,113.962006365
Kwai Tsing,22.446784299,114.165984096
Central And Western,22.331805487,114.160411586
Tai Po,22.416687083,114.227866137
North Point,22.317142065,114.187987515
Sha Tin,22.362432018,114.103057257
Kowloon City,22.314830559,114.181106024
Central And Western,22.331972526,114.193509944
Wong Tai Sin,22.286224807,114.149878721
North Point,22.336040439,114.145511633
Sham Shui Po,22.455336057,114.164895305
Tai Po,22.496968484,114.128399485
Wan Chai,22.340449598,114.192813959
Wong Tai Sin,22.379981152,114.189073259
Sha Tin,22.279620187,114.173002762
Islands,22.364129596,114.070327132
Yuen Long,22.28847537,113.943102712
Tsuen Wan,22.468422529,113.998667638
Kwai Tsing,22.351466689,114.102101921
Wan Chai,22.279783609,114.171830607
Tuen Mun,22.386302878,113.968112272
Central And Western,22.250150687,114.148217024
Yuen Long,22.455011852,114.006544498
Southern,22.278084529,114.164163266
Central And Western,22.331735034,114.160265992
Sham Shui Po,22.277722373,114.16382272
Sham Shui Po,22.454543124,114.001439671
Yuen Long,22.500125074,114.144720654
Yuen Long,22.253611659,113.865440211
North Point,22.442513718,114.018952524
Islands,22.345524706,114.193513498
Wong Tai Sin,22.32276832,114.169022044
Kwun Tong,22.319798496,114.227694954
Yau Tsim Mong,22.317187158,114.268176944
Sai Kung,22.324976332,114.183935735
Kowloon City,22.309548082,114.229836108
Kwun Tong,22.33243015,114.195583386
Kwun Tong,22.329687681,114.225436883
Wan Chai,22.276974178,114.171855935
Wong Tai Sin,22.320522481,114.222531601
Wong Tai Sin,22.339064514,114.190568496
Kwun Tong,22.315696625,114.233662479
Kwun Tong,22.372319116,114.122490725
North Point,22.496568536,114.138873014
Yau Tsim Mong,22.307910419,114.173011697
Tsuen Wan,22.30956921,114.169265411
Tsuen Wan,22.374306343,114.124033806
Kwun Tong,22.310002813,114.218916828
