ShopName,Address_FullAddress,Address_Lat,Address_Lng,Address_LocationType,Address_PlaceID,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
琥珀美容 Amber Beauty,"11間分店分別位於銅鑼灣、尖沙咀、旺角、荃灣、屯門、元朗、天水圍、沙田(12月開幕), Hong Kong",22.279497,114.186008,ROOFTOP,ChIJR3LoG1QABDQRwHW4Fz1pbjo,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty and Juice,"Shop G60, E Plaza, 7 Shing Yip Street, Kwun Tong, Hong Kong, 852 Hong Kong",22.31082,114.226119,ROOFTOP,ChIJO8F8WUUBBDQRkyhHAr0HX-c,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUTY AVENUE,"G/F - 1/F, Langham Place,  8 Argyle Street, Mongkok, Hong Kong",22.3179137,114.1687442,ROOFTOP,ChIJPadWmscABDQRBsYdT0BZvVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnabel 醫學美容中心,"彌敦道132號美麗華大廈10樓1007室, 00000 Tsim Sha Tsui, Hong Kong",22.300932,114.17264,ROOFTOP,ChIJEYNAOuwABDQRYKaw4VZjGbE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
眉清目繡專業隱形眼線中心,"九龍彌敦道 760號, 東海大? 5摟 523室  (太子地?站B2出口).  Room 523, 5/F., Cosmopolitan Centre , 760 Nathan Road, Kowloon. (Prince Edward MTR exit B2), Hong Kong",22.323475,114.168812,ROOFTOP,ChIJwQu0zskABDQR7tsPwqJVmxY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Beauty 上門 飄眉 霧眉 眉粉眉 飄霧眉 輕氧霧眉 美瞳線 隱形眼線 水晶唇 髮線填補 駐顏粉底 孕睫術 韓國半永久化妝,"上門服務, 852 Hong Kong",22.282852,114.14955,ROOFTOP,ChIJ9d8CXnkABDQR9KHI8tjaae0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菅式美容 Kan's Beauty,1.尖沙咀金馬倫道10號宏威中心6樓全層 / 2.旺角山東街38號38廣場20樓全層 / 3.觀塘成業街6號泓富廣場10樓01-03室,22.298632,114.173162,ROOFTOP,ChIJyWJk5-0ABDQRorNRgaplq0Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壹美健 The ONE Cosmedic,銅鑼灣 / 旺角 / 佐敦,22.3112267,114.1708228,ROOFTOP,ChIJbwgTq8EABDQRyS8yeDPgInk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美霖坊 - 薰蒸足療 美甲 按摩 個人護理,"尖沙咀金馬倫道37號安利商業大廈14樓, 852 Hong Kong",22.2995538,114.1750774,ROOFTOP,Ekg4NTIsIE9uIExlZSBDb21tZXJjaWFsIEJ1aWxkaW5nLCAzNyBDYW1lcm9uIFJkLCBUc2ltIFNoYSBUc3VpLCBIb25nIEtvbmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrAdvanceSkin,"13/F, Winway Building, No. 50 Wellington Street, HONG KONG Central District, Hong Kong",22.2817015,114.1554078,ROOFTOP,ChIJdx-fNnsABDQRXN3mgVXtE1w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
